id,URL,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status,page_count,dish_count
27301,http://api.menus.nypl.org/dishes/27301,,Cunard,,,Cunard,"folder; 8 x 10.5 inches; water stain (center, bottom, middle)",,"Baratta collection; RMS ""Caronia""; cruise ship illustration; blank interior; printed in England",Baratta 22,,,,Cunard,,,,complete,1,-Infinity
27700,http://api.menus.nypl.org/dishes/27700,,[Visitor's Map of Florence],,NULL,,#N/A,NULL,,Zander 159,,,,[Visitor's Map Of Florence],,,,complete,2,-Infinity
27712,http://api.menus.nypl.org/dishes/27712,,Exec Committe California Midwinter Int Exposition,,NULL,,#N/A,NULL,,soete 56,,,,Exec Committe California Midwinter Int Exposition,,,,complete,3,-Infinity
27893,http://api.menus.nypl.org/dishes/27893,,The Ark,,,,14x26.5cm,,,1973-0001_wotm,,,09/31/1972,The Ark,,,,complete,1,-Infinity
28035,http://api.menus.nypl.org/dishes/28035,,La Tour D'auvergne,,,,22x10.5cm folded; 22x31cm open,,,1978-0005_wotm,,,06/01/1978,La Tour D'auvergne,,,,complete,5,-Infinity
28512,http://api.menus.nypl.org/dishes/28512,,The Flying Clipper Restaurant,,,,25x18.5cm folded; 25x55.5cm open,,,1957-0050_wotm,,,05/30/1956,The Flying Clipper Restaurant,,Dollars,$,complete,5,-Infinity
29318,http://api.menus.nypl.org/dishes/29318,,Caronia,,,,28x22cm folded; 28x42.5cm open,,,2001-0018_wotm,,,,Caronia,,,,complete,1,-Infinity
29511,http://api.menus.nypl.org/dishes/29511,,"Paquebot \Libert̩\""""",,,,27.5x21cm folded; 27.5x42cm open,,English is secondary language. ,1955-0058_wotm,,,07/26/1954,"Paquebot \Libert̩\""""",,,,complete,5,-Infinity
30375,http://api.menus.nypl.org/dishes/30375,,Hotel Astor,,,,36x23.5cm ,,,1940-0039_wotm,,,03/31/1939,Hotel Astor,,,,complete,1,-Infinity
30389,http://api.menus.nypl.org/dishes/30389,,Duval Tea House,,,,23x17cm folded; 23x30.5cm open,,,1940-0053_wotm,,,04/31/1939,Duval Tea House,,,,complete,3,-Infinity
30923,http://api.menus.nypl.org/dishes/30923,,[Restaurant Name And/Or Location Not Given],,,,25x16cm folded; 25x32cm open,,Arthur H. Rumpf Menu Collection,1938-0189_wotm,,,,[Restaurant Name And/Or Location Not Given],,,,complete,2,-Infinity
32881,http://api.menus.nypl.org/dishes/32881,The Biltmore,The Biltmore,,,,28x17.5cm folded; 28x35cm open,,,1917-0183_wotm,,,10/31/1916,The Biltmore,,Dollars,$,complete,4,-Infinity
33765,http://api.menus.nypl.org/dishes/33765,Elks' Home,Elks' Home,,,,20.5x13cm folded; 20.5x26cm open,,Order of Elks,1914-0222_wotm,,,02/28/1913,Elks' Home,,,,complete,10,-Infinity
34091,http://api.menus.nypl.org/dishes/34091,Waldorf Astoria,Waldorf Astoria,,,,24x16cm folded; 24x32cm open,,,1914-0793_wotm,,,08/28/1913,Waldorf Astoria,,Dollars,$,complete,3,-Infinity
35479,http://api.menus.nypl.org/dishes/35479,"R.M.S. ""Lusitania""","R.M.S. ""Lusitania""",,,,,,2 images,1913-0710_wotm,,,09/29/1912,"R.M.S. ""Lusitania""",,Dollars,$,complete,2,-Infinity
